Time,Value
2023-06-01 00:00:00,7698.285210215055
2023-06-01 00:30:00,8374.689880736034
2023-06-01 01:00:00,8087.4990504805455
2023-06-01 01:30:00,7668.711015215337
2023-06-01 02:00:00,12832.765237726699
2023-06-01 02:30:00,15934.992790461954
2023-06-01 03:00:00,14795.967148579986
2023-06-01 03:30:00,17715.33152024535
2023-06-01 04:00:00,20073.922581192863
2023-06-01 04:30:00,19141.055233650593
2023-06-01 05:00:00,19642.623250767127
2023-06-01 05:30:00,19485.240754244336
2023-06-01 06:00:00,18498.03262465501
2023-06-01 06:30:00,18071.36006689862
2023-06-01 07:00:00,20681.916889860306
2023-06-01 07:30:00,20642.627438544252
2023-06-01 08:00:00,18673.65320120842
2023-06-01 08:30:00,20810.55971797061
2023-06-01 09:00:00,20899.238634193687
2023-06-01 09:30:00,20874.38618977963
2023-06-01 10:00:00,18016.77170260857
2023-06-01 10:30:00,16107.12667693742
2023-06-01 11:00:00,15944.607245575708
2023-06-01 11:30:00,16137.12953208358
2023-06-01 12:00:00,18093.029604989322
2023-06-01 12:30:00,23256.66976949341
2023-06-01 13:00:00,21427.746409675365
2023-06-01 13:30:00,17609.939035765503
2023-06-01 14:00:00,11985.093791293726
2023-06-01 14:30:00,10985.072974819577
2023-06-01 15:00:00,10271.59582375672
2023-06-01 15:30:00,9810.436637193156
2023-06-01 16:00:00,9852.297379590162
2023-06-01 16:30:00,9770.601505198763
2023-06-01 17:00:00,7919.10603179956
2023-06-01 17:30:00,7013.1205428642825
2023-06-01 18:00:00,7246.357862586253
2023-06-01 18:30:00,8643.285430748272
2023-06-01 19:00:00,8746.394410100082
2023-06-01 19:30:00,9403.824089522699
2023-06-01 20:00:00,10053.178647494311
2023-06-01 20:30:00,10232.77894915678
2023-06-01 21:00:00,9379.363170863859
2023-06-01 21:30:00,9904.471114001926
2023-06-01 22:00:00,8699.23603836885
2023-06-01 22:30:00,9005.154896388038
2023-06-01 23:00:00,8280.655747479574
2023-06-01 23:30:00,7537.903290907409
2023-06-02 00:00:00,7486.734799811357
2023-06-02 00:30:00,8008.831416690633
2023-06-02 01:00:00,8161.645838694829
2023-06-02 01:30:00,8206.39527779903
2023-06-02 02:00:00,7739.209014241078
2023-06-02 02:30:00,7710.41392181036
2023-06-02 03:00:00,7528.735638099921
2023-06-02 03:30:00,7566.3678118687885
2023-06-02 04:00:00,7871.183166654937
2023-06-02 04:30:00,6862.4326761262155
2023-06-02 05:00:00,6740.989904258359
2023-06-02 05:30:00,7807.070960726106
2023-06-02 06:00:00,7083.570098100373
2023-06-02 06:30:00,7382.21178174804
2023-06-02 07:00:00,8229.303373295266
2023-06-02 07:30:00,5657.486551906368
2023-06-02 08:00:00,5160.139388572711
2023-06-02 08:30:00,5605.977003907258
2023-06-02 09:00:00,4981.453127938318
2023-06-02 09:30:00,5354.353944940915
2023-06-02 10:00:00,4924.112694616307
2023-06-02 10:30:00,5017.0888144469745
2023-06-02 11:00:00,5430.858950014931
2023-06-02 11:30:00,5678.9276382555345
2023-06-02 12:00:00,4996.025276254233
2023-06-02 12:30:00,5474.480695497089
2023-06-02 13:00:00,5382.1046583290845
2023-06-02 13:30:00,5066.341115930875
2023-06-02 14:00:00,5752.894960377469
2023-06-02 14:30:00,5307.733635454051
2023-06-02 15:00:00,5486.401439049503
2023-06-02 15:30:00,5187.434609702594
2023-06-02 16:00:00,4828.153783058852
2023-06-02 16:30:00,4805.667396068682
2023-06-02 17:00:00,4961.728179814378
2023-06-02 17:30:00,4953.499540709047
2023-06-02 18:00:00,5237.554824310069
2023-06-02 18:30:00,5729.240456993039
2023-06-02 19:00:00,6582.431866611048
2023-06-02 19:30:00,7043.40767254928
2023-06-02 20:00:00,7175.474578163054
2023-06-02 20:30:00,7209.118360036247
2023-06-02 21:00:00,7105.386935188724
2023-06-02 21:30:00,7468.863458456277
2023-06-02 22:00:00,7005.073070755349
2023-06-02 22:30:00,7227.311688083989
2023-06-02 23:00:00,7509.2236151526695
2023-06-02 23:30:00,7214.470882015192
2023-06-03 00:00:00,6837.268388767801
2023-06-03 00:30:00,7147.836179140602
2023-06-03 01:00:00,7451.1536519725
2023-06-03 01:30:00,6990.606176805155
2023-06-03 02:00:00,7266.917691892617
2023-06-03 02:30:00,7430.548529757212
2023-06-03 03:00:00,7043.539253945084
2023-06-03 03:30:00,7591.638587255183
2023-06-03 04:00:00,7401.6238774682515
2023-06-03 04:30:00,7530.767460058034
2023-06-03 05:00:00,7430.828850388655
2023-06-03 05:30:00,6949.31173658917
2023-06-03 06:00:00,7023.653779850503
2023-06-03 06:30:00,6829.947085542274
2023-06-03 07:00:00,7399.049724126224
2023-06-03 07:30:00,5994.182146151304
2023-06-03 08:00:00,4688.379640449805
2023-06-03 08:30:00,4708.050557885262
2023-06-03 09:00:00,5554.745969096052
2023-06-03 09:30:00,5918.706128481567
2023-06-03 10:00:00,6000.517179952293
2023-06-03 10:30:00,6487.945710920406
2023-06-03 11:00:00,6483.039939475901
2023-06-03 11:30:00,5697.167051011525
2023-06-03 12:00:00,5305.5134814247185
2023-06-03 12:30:00,4679.907141708567
2023-06-03 13:00:00,5460.155514194052
2023-06-03 13:30:00,5185.24631306592
2023-06-03 14:00:00,5097.948691727033
2023-06-03 14:30:00,4783.535151300732
2023-06-03 15:00:00,4773.60196980979
2023-06-03 15:30:00,3668.325566023196
2023-06-03 16:00:00,3954.987512720618
2023-06-03 16:30:00,5281.365463001389
2023-06-03 17:00:00,5384.767791403492
2023-06-03 17:30:00,3911.1082199581233
2023-06-03 18:00:00,3614.50422163614
2023-06-03 18:30:00,4090.490034650385
2023-06-03 19:00:00,5922.996819891546
2023-06-03 19:30:00,6096.999458771508
2023-06-03 20:00:00,6727.191637416286
2023-06-03 20:30:00,7321.336312342771
2023-06-03 21:00:00,7265.846207246626
2023-06-03 21:30:00,6202.948468440916
2023-06-03 22:00:00,6984.033684442694
2023-06-03 22:30:00,6534.695788426278
2023-06-03 23:00:00,6197.09096142595
2023-06-03 23:30:00,6352.1454852504185
2023-06-04 00:00:00,6361.679138027761
2023-06-04 00:30:00,6008.671163369344
2023-06-04 01:00:00,6075.248488163024
2023-06-04 01:30:00,7385.163022955573
2023-06-04 02:00:00,7272.973691711897
2023-06-04 02:30:00,6047.512980260125
2023-06-04 03:00:00,5762.391327541363
2023-06-04 03:30:00,6051.0166642089525
2023-06-04 04:00:00,7409.602307198783
2023-06-04 04:30:00,6005.861826368335
2023-06-04 05:00:00,6203.494406829981
2023-06-04 05:30:00,6482.7212955244795
2023-06-04 06:00:00,6301.545598514107
2023-06-04 06:30:00,5823.480058125025
2023-06-04 07:00:00,5822.547365096541
2023-06-04 07:30:00,4856.267008593492
2023-06-04 08:00:00,3852.7006437441896
2023-06-04 08:30:00,4507.795173644123
2023-06-04 09:00:00,3948.226651414184
2023-06-04 09:30:00,4480.98873079533
2023-06-04 10:00:00,4973.224869462814
2023-06-04 10:30:00,4274.508121291656
2023-06-04 11:00:00,3891.4172695916286
2023-06-04 11:30:00,3755.1185643672907
2023-06-04 12:00:00,4597.7714073722345
2023-06-04 12:30:00,4924.508777263164
2023-06-04 13:00:00,6298.03816420625
2023-06-04 13:30:00,6780.551911329707
2023-06-04 14:00:00,7058.2047053565575
2023-06-04 14:30:00,4798.439157689571
2023-06-04 15:00:00,4287.923674181255
2023-06-04 15:30:00,4617.731164229423
2023-06-04 16:00:00,4741.828019717033
2023-06-04 16:30:00,4421.268330439091
2023-06-04 17:00:00,3669.203343329816
2023-06-04 17:30:00,3618.285881101545
2023-06-04 18:00:00,4537.656201541801
2023-06-04 18:30:00,4533.284883456798
2023-06-04 19:00:00,5418.195818762596
2023-06-04 19:30:00,5160.8926022782025
2023-06-04 20:00:00,5605.295757862154
2023-06-04 20:30:00,7089.153531009446
2023-06-04 21:00:00,5431.744895997946
2023-06-04 21:30:00,6290.208360505904
2023-06-04 22:00:00,6484.37712085311
2023-06-04 22:30:00,6479.9545728721605
2023-06-04 23:00:00,5812.792541867615
2023-06-04 23:30:00,6335.50003719644
2023-06-05 00:00:00,6734.44890519037
2023-06-05 00:30:00,5926.151494924056
2023-06-05 01:00:00,6451.98796139729
2023-06-05 01:30:00,6455.794073561508
2023-06-05 02:00:00,10162.416274928859
2023-06-05 02:30:00,15151.086152839247
